state,avg_rainfall_mm,river_level_m,elevation_m,distance_to_river_km,drainage_quality,soil_type,past_flood_events,flood_risk
Kwara,53.5,5.96,322.4,1.52,Good,Sandy,0,Low
Rivers,202.9,10.53,370.7,14.77,Fair,Sandy,3,Low
Bayelsa,170.7,7.19,35.8,14.63,Fair,Sandy,0,Low
Kwara,65.0,8.74,109.9,1.0,Fair,Sandy,3,Medium
Benue,252.1,6.43,307.6,5.69,Fair,Sandy,5,Low
Kwara,211.2,6.12,225.9,22.65,Poor,Clay,2,Medium
Niger,303.8,6.19,224.7,13.66,Fair,Loamy,1,Low
Niger,298.5,5.81,68.2,10.97,Good,Loamy,0,Low
Lagos,98.3,7.16,113.9,10.45,Poor,Loamy,2,Medium
Delta,440.8,4.13,209.5,22.22,Fair,Loamy,2,Low
Delta,124.8,10.86,112.3,9.24,Poor,Clay,0,High
Bayelsa,228.1,5.0,85.7,21.49,Good,Clay,4,Low
Benue,245.2,3.05,36.9,7.8,Fair,Loamy,5,Medium
Anambra,375.2,2.51,64.0,13.33,Poor,Sandy,4,Low
Niger,89.7,1.64,308.0,3.68,Fair,Loamy,3,Low
Bayelsa,221.5,5.94,288.1,20.64,Poor,Sandy,2,Low
Anambra,301.4,3.47,20.2,18.43,Poor,Sandy,1,Medium
Delta,136.1,1.73,82.9,13.3,Good,Clay,1,Low
Lagos,301.0,6.96,225.1,0.74,Good,Sandy,2,Low
Kwara,419.5,8.64,130.4,12.08,Fair,Clay,4,High
Niger,449.0,2.4,329.7,5.71,Fair,Loamy,5,Low
Bayelsa,63.0,6.34,314.4,10.39,Poor,Clay,2,Low
Kogi,144.2,9.31,356.8,21.43,Good,Sandy,3,Low
Anambra,174.1,11.85,226.0,19.26,Good,Sandy,2,Low
Kwara,209.7,8.51,142.1,6.12,Poor,Sandy,0,Medium
Niger,146.9,4.07,243.2,24.63,Good,Loamy,4,Low
Delta,131.4,9.02,37.5,22.59,Good,Clay,0,Low
Benue,431.8,7.78,5.8,13.26,Poor,Loamy,0,High
Anambra,417.4,3.72,8.8,13.3,Fair,Clay,2,High
Delta,68.8,10.44,164.2,22.54,Fair,Loamy,5,Medium
Niger,185.5,5.99,92.8,15.94,Fair,Loamy,2,Medium
Anambra,212.1,11.6,64.6,13.46,Poor,Sandy,5,High
Kwara,145.6,9.09,246.9,18.75,Fair,Loamy,1,Low
Niger,301.5,8.27,398.0,5.95,Poor,Loamy,5,High
Rivers,306.2,9.15,72.7,21.97,Poor,Clay,0,High
Bayelsa,390.2,6.52,219.5,13.33,Good,Loamy,2,Low
Kwara,346.3,6.8,49.7,15.13,Good,Sandy,1,Low
Anambra,267.0,10.44,373.8,2.34,Fair,Loamy,0,Low
Benue,311.4,8.65,118.1,7.81,Poor,Clay,1,Medium
Delta,159.6,10.92,351.6,10.73,Fair,Clay,4,Medium
Kogi,287.2,10.85,114.7,10.41,Fair,Loamy,3,Medium
Delta,245.7,11.75,322.8,19.48,Good,Loamy,0,Low
Anambra,103.3,8.85,85.3,7.13,Fair,Clay,2,Medium
Delta,147.0,6.77,118.5,4.63,Fair,Sandy,5,Low
Bayelsa,166.7,3.25,78.6,14.61,Good,Loamy,4,Low
Niger,419.7,8.91,107.2,15.41,Fair,Sandy,1,Medium
Kogi,142.2,4.56,334.3,3.13,Fair,Sandy,3,Low
Jigawa,165.7,4.47,256.3,0.16,Poor,Loamy,5,Medium
Anambra,197.7,4.0,163.5,22.95,Fair,Sandy,0,Low
Lagos,315.5,10.69,388.7,2.08,Good,Clay,3,Medium
Jigawa,97.3,10.61,187.0,22.46,Good,Sandy,4,Low
Delta,431.6,8.13,388.0,10.04,Poor,Clay,3,High
Anambra,396.2,6.47,80.2,16.36,Good,Loamy,0,Low
Rivers,280.9,8.56,362.0,4.72,Good,Sandy,4,Low
Lagos,319.6,7.88,7.5,20.62,Good,Clay,1,High
Kogi,56.7,5.87,219.0,4.59,Fair,Clay,0,Low
Benue,185.6,5.49,170.4,9.72,Poor,Loamy,3,Low
Rivers,368.3,5.52,211.0,6.03,Poor,Sandy,0,Low
Jigawa,81.0,7.69,222.3,20.95,Poor,Clay,4,Medium
Niger,162.9,8.3,156.8,21.47,Poor,Clay,3,Medium
Bayelsa,284.1,6.24,399.3,9.36,Good,Loamy,1,Low
Benue,152.6,11.67,390.6,7.75,Fair,Sandy,5,Low
Rivers,423.6,2.38,384.8,19.36,Good,Sandy,2,Low
Niger,102.4,5.14,391.7,21.97,Good,Clay,1,Low
Niger,369.0,5.9,317.6,15.64,Good,Sandy,0,Low
Anambra,253.2,1.68,395.5,23.19,Good,Sandy,2,Low
Rivers,350.1,5.33,357.2,9.64,Poor,Sandy,5,Low
Kogi,174.3,4.37,167.5,3.88,Poor,Sandy,5,Medium
Delta,255.8,6.81,314.3,4.57,Fair,Sandy,4,Low
Lagos,392.7,5.03,365.0,16.78,Good,Sandy,5,Low
Lagos,236.8,9.12,285.6,10.25,Poor,Sandy,3,Low
Jigawa,193.9,6.85,170.3,3.99,Fair,Clay,3,Low
Jigawa,264.5,2.86,28.2,7.38,Good,Clay,4,Medium
Lagos,336.9,9.38,324.3,13.31,Good,Sandy,5,Low
Kogi,227.4,2.54,381.2,3.12,Poor,Sandy,0,Low
Bayelsa,425.6,10.31,146.3,0.19,Good,Loamy,1,Medium
Kwara,168.0,11.28,62.5,22.94,Good,Clay,2,Medium
Delta,240.2,4.89,131.9,7.69,Poor,Loamy,4,Medium
Bayelsa,352.8,11.22,233.9,5.62,Fair,Clay,5,Medium
Anambra,325.6,9.83,128.1,17.49,Fair,Loamy,0,Medium
Kwara,395.5,11.19,245.0,21.35,Poor,Loamy,0,Low
Kwara,448.7,8.5,386.8,15.84,Poor,Loamy,2,Medium
Rivers,220.7,3.97,269.0,6.44,Fair,Clay,4,Low
Kogi,94.5,10.89,146.3,21.55,Fair,Clay,1,Low
Kogi,62.2,3.43,374.4,12.81,Poor,Sandy,1,Low
Kwara,340.8,3.74,227.1,9.59,Poor,Clay,4,Low
Rivers,399.6,4.35,53.1,15.16,Poor,Clay,3,Medium
Delta,138.3,4.69,200.6,17.55,Good,Clay,5,Low
Kwara,113.4,6.9,262.1,14.89,Poor,Clay,1,Low
Benue,74.9,8.99,335.6,23.01,Good,Sandy,3,Low
Jigawa,379.1,11.23,374.7,15.74,Fair,Sandy,4,Low
Jigawa,174.6,2.43,128.3,21.98,Fair,Clay,5,Medium
Bayelsa,210.7,11.52,63.9,14.72,Poor,Loamy,0,Medium
Anambra,251.1,11.17,31.4,8.31,Poor,Loamy,4,High
Jigawa,385.8,2.07,295.9,13.35,Fair,Clay,0,Low
Niger,310.3,5.28,318.5,2.25,Fair,Sandy,4,Low
Bayelsa,296.0,10.04,164.9,5.83,Fair,Loamy,3,Low
Jigawa,120.3,7.92,159.6,19.18,Fair,Sandy,5,Low
Anambra,255.3,9.68,381.8,16.57,Poor,Sandy,3,Low
Kogi,336.2,9.05,366.8,4.25,Good,Loamy,5,Low
Kogi,439.3,6.72,94.8,11.01,Fair,Clay,4,High
Delta,130.6,1.93,312.8,3.64,Fair,Sandy,0,Low
Kwara,53.8,7.63,249.8,21.41,Good,Loamy,4,Low
Benue,80.1,2.01,63.4,2.82,Poor,Sandy,0,Low
Kogi,200.3,7.84,144.0,16.39,Good,Loamy,3,Medium
Rivers,378.2,9.9,72.6,15.21,Poor,Clay,2,High
Jigawa,52.9,7.64,119.5,11.87,Poor,Clay,1,High
Rivers,232.7,11.97,246.9,7.03,Poor,Clay,3,Medium
Anambra,181.7,6.29,151.4,10.16,Poor,Sandy,4,Low
Kogi,71.0,9.36,158.8,20.18,Poor,Clay,4,High
Benue,230.1,8.51,216.8,19.06,Fair,Clay,0,Low
Anambra,151.9,11.91,36.7,18.5,Poor,Clay,1,High
Niger,190.8,8.99,296.0,18.77,Fair,Clay,5,Medium
Niger,332.2,3.22,161.9,3.68,Poor,Loamy,3,Low
Rivers,258.6,11.53,193.2,2.57,Fair,Loamy,1,Low
Kwara,99.9,8.51,389.8,21.55,Good,Sandy,1,Low
Bayelsa,434.6,2.12,139.1,20.95,Good,Loamy,3,Low
Kwara,304.4,8.4,260.0,17.06,Fair,Loamy,0,Low
Delta,356.3,10.77,158.2,15.19,Poor,Loamy,5,High
Kwara,81.7,7.56,357.9,9.24,Fair,Loamy,0,Low
Delta,68.8,5.22,339.0,5.68,Fair,Loamy,0,Low
Delta,57.8,10.12,98.2,16.72,Poor,Clay,2,High
Benue,125.5,9.72,277.3,22.83,Good,Sandy,1,Low
Kogi,215.8,7.21,27.9,10.98,Fair,Loamy,2,Low
Benue,424.3,3.12,385.3,7.65,Good,Loamy,0,Low
Delta,232.8,4.14,140.9,6.84,Good,Sandy,5,Low
Anambra,166.1,9.25,333.1,0.69,Good,Loamy,3,Medium
Niger,274.8,9.96,128.7,13.06,Fair,Loamy,1,Medium
Delta,94.8,4.43,253.8,24.71,Fair,Sandy,3,Low
Benue,293.8,5.36,393.5,20.4,Poor,Clay,4,Medium
Anambra,277.4,2.32,350.9,22.45,Poor,Clay,1,Low
Benue,366.8,8.99,65.8,15.57,Fair,Sandy,3,Medium
Kwara,444.7,1.54,219.9,12.09,Poor,Clay,0,Low
Jigawa,150.3,1.99,140.7,24.76,Good,Clay,2,Medium
Rivers,253.9,1.55,174.9,11.23,Good,Clay,3,Low
Bayelsa,413.5,8.28,135.4,22.93,Fair,Clay,5,High
Benue,364.1,5.88,135.7,19.07,Good,Loamy,4,Medium
Bayelsa,245.0,4.62,217.9,8.34,Fair,Sandy,0,Low
Lagos,428.1,11.08,78.4,12.63,Fair,Clay,4,Medium
Benue,72.9,3.52,215.9,9.67,Fair,Clay,5,Medium
Jigawa,422.4,5.59,113.0,3.49,Good,Sandy,5,Low
Bayelsa,70.2,11.37,117.0,8.98,Fair,Loamy,2,Medium
Delta,268.9,5.98,296.0,22.24,Fair,Clay,4,Medium
Benue,406.2,7.32,13.8,18.84,Poor,Clay,5,High
Kogi,155.1,2.34,153.6,7.01,Good,Loamy,3,Low
Rivers,238.9,9.8,164.2,9.26,Fair,Sandy,5,Low
Jigawa,179.7,5.94,195.1,15.45,Poor,Clay,5,Medium
Bayelsa,430.9,9.91,268.3,10.46,Fair,Clay,3,Medium
Jigawa,379.5,4.16,149.1,12.63,Good,Sandy,0,Low
Anambra,333.6,5.94,86.8,17.48,Poor,Loamy,2,Medium
Rivers,285.1,9.76,354.2,11.73,Poor,Sandy,2,Low
Delta,378.2,11.73,392.5,4.86,Fair,Clay,1,Low
Benue,206.9,2.13,10.0,13.06,Fair,Loamy,1,Low
Benue,229.0,10.03,219.5,8.97,Good,Loamy,3,Low
Benue,342.0,4.66,138.0,7.34,Good,Loamy,5,Low
Rivers,193.1,7.28,112.2,8.27,Fair,Sandy,4,Low
Kogi,75.6,4.55,135.6,11.03,Poor,Sandy,5,Medium
Lagos,79.7,7.94,256.3,22.18,Good,Sandy,5,Low
Niger,96.1,5.21,77.9,18.38,Good,Clay,4,Medium
Kwara,397.9,5.0,365.3,16.73,Poor,Sandy,0,Low
Bayelsa,238.9,1.9,187.5,11.83,Fair,Loamy,2,Low
Kogi,335.2,3.04,131.6,0.15,Good,Clay,3,Medium
Delta,207.2,11.13,306.7,8.58,Poor,Clay,4,High
Bayelsa,153.5,11.98,8.5,20.35,Good,Clay,1,Low
Benue,188.9,9.7,173.9,9.77,Poor,Loamy,3,Medium
Jigawa,367.7,4.51,143.4,14.14,Good,Sandy,0,Low
Delta,300.1,5.73,136.6,5.2,Fair,Loamy,3,Medium
Bayelsa,425.1,9.26,136.2,22.9,Poor,Sandy,4,Medium
Benue,321.9,11.67,14.4,23.09,Good,Clay,0,High
Bayelsa,278.1,6.28,62.5,3.74,Good,Clay,5,Medium
Jigawa,294.1,10.21,58.5,18.13,Poor,Loamy,1,High
Benue,426.9,11.74,395.5,1.97,Poor,Sandy,1,Medium
Lagos,365.3,10.67,10.8,15.0,Fair,Clay,4,High
Kogi,59.6,3.89,68.5,4.55,Poor,Loamy,0,Low
Anambra,263.7,1.58,389.7,3.73,Good,Loamy,1,Low
Kwara,325.3,6.67,252.0,0.2,Fair,Sandy,0,Low
Rivers,349.5,7.08,181.4,23.53,Poor,Sandy,3,Low
Kwara,135.3,3.61,33.3,20.75,Good,Sandy,2,Low
Delta,396.9,4.49,268.5,2.03,Poor,Clay,2,Medium
Kwara,432.3,9.53,56.8,15.02,Good,Loamy,2,Medium
Benue,144.7,6.44,269.1,5.9,Good,Sandy,1,Low
Lagos,403.0,4.83,391.7,6.67,Fair,Loamy,4,Low
Anambra,88.8,8.04,213.7,21.87,Fair,Clay,2,Medium
Kogi,72.3,8.35,87.2,2.95,Poor,Clay,5,High
Kogi,101.7,9.58,250.9,15.08,Fair,Sandy,4,Medium
Jigawa,73.1,3.15,206.1,10.09,Poor,Clay,2,Low
Rivers,388.0,9.29,214.2,4.85,Fair,Loamy,3,Low
Bayelsa,73.6,7.79,192.3,11.35,Fair,Loamy,2,Low
Lagos,158.7,2.1,270.1,23.52,Poor,Clay,4,Medium
Bayelsa,91.5,9.66,229.6,19.56,Fair,Clay,1,Low
Anambra,168.2,5.52,394.8,3.39,Fair,Clay,5,Medium
Kwara,86.2,4.97,330.7,21.25,Fair,Loamy,3,Low
Kogi,317.2,6.2,107.3,23.44,Fair,Clay,4,Medium
Anambra,103.3,5.13,290.9,7.0,Poor,Sandy,0,Low
Kwara,390.7,5.05,87.3,8.4,Good,Sandy,2,Low
Kogi,376.9,9.98,313.4,3.25,Poor,Loamy,3,Medium
Kwara,55.5,2.81,60.7,8.69,Poor,Clay,1,Medium
Rivers,408.3,11.69,190.5,16.86,Poor,Clay,0,Low
Lagos,61.6,7.33,316.7,6.88,Fair,Clay,2,Low
Delta,145.9,3.42,113.5,0.27,Fair,Sandy,3,Low
Anambra,63.0,2.88,335.2,8.53,Good,Sandy,5,Low
Anambra,184.3,7.71,258.4,11.38,Fair,Sandy,4,Low
Niger,255.5,8.15,160.2,14.2,Good,Sandy,2,Low
Benue,368.7,2.06,170.5,17.13,Good,Sandy,3,Low
Rivers,185.2,4.05,370.5,1.64,Fair,Loamy,2,Low
Rivers,332.2,9.85,88.7,11.8,Good,Loamy,5,Medium
Bayelsa,125.0,2.02,278.0,6.73,Poor,Clay,3,Low
Kwara,350.2,10.48,283.5,23.7,Poor,Clay,4,High
Benue,144.4,8.41,369.1,9.06,Poor,Sandy,2,Low
Lagos,107.4,6.06,285.8,2.59,Good,Clay,3,Low
Lagos,124.2,5.14,234.6,1.13,Good,Loamy,0,Low
Rivers,122.8,1.7,361.2,6.71,Poor,Loamy,1,Low
Lagos,255.1,10.16,332.0,4.55,Fair,Clay,5,Medium
Niger,387.9,3.0,287.3,16.28,Poor,Sandy,3,Low
Anambra,81.8,4.75,15.0,21.19,Fair,Loamy,3,Low
Jigawa,332.8,7.48,150.7,7.88,Fair,Clay,3,Low
Delta,311.7,4.08,253.5,14.49,Good,Sandy,2,Low
Bayelsa,399.0,6.72,209.9,18.28,Good,Clay,5,Low
Kwara,147.7,10.0,129.1,10.02,Fair,Sandy,1,Low
Delta,230.0,6.44,59.5,1.75,Fair,Sandy,5,High
Kwara,420.3,11.46,222.1,5.81,Fair,Loamy,2,Low
Kogi,314.0,10.4,115.8,22.09,Good,Loamy,3,Low
Delta,205.5,5.0,94.7,20.63,Poor,Clay,5,High
Jigawa,102.6,5.7,160.8,2.25,Fair,Clay,3,Medium
Rivers,155.0,5.94,314.6,5.68,Good,Sandy,1,Low
Niger,282.5,8.07,196.2,19.25,Poor,Loamy,0,Medium
Anambra,337.3,4.51,88.2,12.2,Good,Sandy,2,Low
Anambra,99.8,11.68,48.5,19.02,Poor,Sandy,0,Low
Niger,289.8,7.89,200.6,5.36,Good,Sandy,5,Low
Benue,270.1,5.69,318.2,23.82,Poor,Sandy,3,Low
Kogi,255.6,8.27,261.8,19.61,Fair,Sandy,3,Low
Kwara,326.0,5.65,94.4,5.02,Good,Sandy,4,Low
Jigawa,385.0,10.09,175.8,14.01,Poor,Clay,4,High
Lagos,179.2,7.46,342.4,2.92,Poor,Loamy,0,Low
Delta,405.6,1.94,72.7,9.1,Poor,Loamy,4,Medium
Kogi,114.3,3.36,213.8,16.52,Fair,Sandy,5,Low
Delta,119.2,10.58,143.8,8.32,Good,Sandy,1,Low
Jigawa,156.7,7.41,51.4,16.45,Poor,Sandy,5,Medium
Bayelsa,97.8,11.48,21.9,6.2,Fair,Loamy,0,Medium
Bayelsa,142.1,2.26,223.2,18.06,Fair,Loamy,5,Low
Kogi,92.6,4.6,10.3,9.05,Fair,Sandy,4,Low
Rivers,378.7,3.53,43.2,19.78,Fair,Loamy,4,Medium
Jigawa,105.6,7.32,140.3,3.5,Fair,Sandy,1,Low
Jigawa,348.9,5.52,19.3,9.11,Fair,Sandy,5,High
Niger,69.2,3.15,161.4,11.65,Fair,Sandy,1,Low
Rivers,429.4,8.25,53.9,10.65,Good,Clay,0,Low
Kwara,334.5,7.13,141.2,10.88,Good,Loamy,2,Low
Kwara,52.7,4.38,316.9,11.18,Fair,Loamy,5,Low
Lagos,355.5,6.54,251.3,24.72,Poor,Loamy,5,Low
Anambra,255.6,9.33,179.3,4.91,Poor,Sandy,1,Low
Bayelsa,361.7,3.66,38.5,19.24,Poor,Clay,4,High
Kwara,259.0,4.58,248.4,13.84,Fair,Sandy,0,Low
Rivers,306.4,5.13,67.2,10.4,Poor,Sandy,2,Low
Jigawa,364.5,9.34,32.5,15.87,Good,Sandy,5,Medium
Kwara,212.0,10.39,266.3,21.35,Good,Clay,0,Low
Jigawa,51.1,5.45,365.0,11.72,Good,Sandy,4,Low
Kwara,390.0,4.61,185.3,21.63,Good,Sandy,2,Low
Bayelsa,202.4,10.84,18.3,2.44,Fair,Clay,2,High
Delta,248.4,11.99,352.4,16.36,Good,Sandy,1,Low
Kwara,53.1,8.54,28.7,8.4,Poor,Sandy,3,Medium
Rivers,246.8,11.89,347.3,9.73,Poor,Loamy,4,Medium
Kwara,444.6,8.43,157.9,14.32,Good,Clay,3,Low
Anambra,161.3,9.2,147.4,12.05,Good,Loamy,4,Medium
Bayelsa,208.2,5.58,218.0,9.61,Good,Sandy,0,Low
Rivers,324.9,6.05,382.9,7.78,Poor,Clay,3,Low
Niger,375.9,3.01,359.7,15.5,Poor,Clay,5,High
Rivers,217.0,10.14,189.2,12.69,Good,Sandy,5,Low
Anambra,173.9,11.28,278.9,8.15,Poor,Loamy,5,High
Delta,425.1,8.05,233.0,5.2,Poor,Sandy,2,Medium
Bayelsa,320.9,5.11,278.0,19.38,Fair,Clay,1,Low
Niger,97.6,3.12,332.1,20.01,Good,Clay,4,Low
Anambra,77.6,4.28,15.7,5.42,Good,Sandy,1,Low
Anambra,243.4,4.18,131.7,6.62,Fair,Sandy,4,Low
Kogi,138.0,7.94,383.8,6.05,Fair,Sandy,5,Low
Bayelsa,151.6,11.42,379.8,22.13,Poor,Sandy,2,Low
Rivers,401.1,2.01,6.5,19.38,Fair,Loamy,2,Medium
Jigawa,85.8,1.51,82.2,1.96,Good,Loamy,2,Low
Delta,336.1,7.8,397.5,20.83,Good,Loamy,2,Low
Jigawa,158.5,4.48,198.1,1.02,Good,Loamy,2,Low
Rivers,354.1,10.75,230.0,6.4,Poor,Clay,5,High
Rivers,339.0,4.94,68.2,22.98,Poor,Clay,1,Medium
Bayelsa,53.0,4.54,357.9,21.62,Good,Loamy,0,Low
Rivers,253.7,4.33,94.0,19.56,Good,Sandy,3,Low
Kogi,105.7,3.02,77.5,11.49,Poor,Clay,1,Medium
Niger,396.5,7.61,92.8,8.1,Poor,Sandy,5,Medium
Rivers,398.6,3.27,368.0,22.05,Fair,Loamy,3,Low
Jigawa,217.3,5.96,281.7,16.46,Poor,Clay,0,Low
Rivers,227.8,6.34,307.9,7.46,Poor,Clay,4,Low
Kogi,171.3,1.72,152.1,11.63,Good,Clay,0,Low
Kwara,336.6,1.68,363.9,22.05,Good,Clay,0,Low
Kwara,193.5,6.96,316.2,22.6,Good,Loamy,5,Low
Anambra,157.1,8.81,300.7,16.52,Fair,Clay,4,Low
Delta,222.9,11.39,388.4,18.34,Poor,Loamy,3,Medium
Lagos,86.6,3.38,147.7,1.08,Fair,Clay,2,Medium
Niger,348.6,2.58,245.2,15.15,Poor,Loamy,4,Low
Benue,55.0,2.05,364.2,17.26,Poor,Loamy,4,Low
Anambra,307.8,6.08,316.8,0.61,Good,Sandy,0,Low
Delta,123.1,8.04,226.2,21.11,Poor,Loamy,4,Medium
Kwara,143.0,10.33,32.3,23.21,Fair,Sandy,1,Low
Jigawa,304.3,8.67,261.8,6.02,Good,Clay,2,Low
Benue,447.2,3.69,211.6,21.16,Fair,Sandy,0,Low
Delta,361.1,6.35,75.3,16.67,Fair,Loamy,3,Medium
Delta,140.3,11.06,353.1,14.56,Good,Sandy,3,Low
Anambra,120.4,4.93,138.6,21.09,Poor,Clay,3,High
Benue,396.5,6.74,156.2,7.21,Fair,Sandy,3,Low
Bayelsa,227.7,11.56,269.6,19.79,Poor,Loamy,3,Low
Lagos,104.8,9.21,196.5,7.93,Good,Loamy,0,Low
Bayelsa,394.9,9.35,37.5,19.71,Poor,Clay,1,High
Benue,376.4,4.15,156.2,11.33,Poor,Clay,1,Low
Bayelsa,443.6,5.85,39.6,3.01,Good,Sandy,3,Low
Kogi,413.9,2.36,77.9,9.6,Poor,Clay,1,Medium
Kwara,390.7,7.87,4.9,5.91,Fair,Loamy,2,High
Kogi,71.0,2.59,74.2,2.6,Fair,Sandy,1,Low
Rivers,91.8,10.28,133.5,2.85,Fair,Sandy,4,High
Bayelsa,277.6,10.05,216.2,19.52,Poor,Sandy,3,Low
Rivers,262.6,7.1,367.9,22.05,Fair,Sandy,4,Low
Jigawa,233.2,2.98,217.1,23.19,Poor,Clay,4,Low
Niger,208.7,1.77,282.8,21.36,Poor,Sandy,3,Low
Jigawa,222.5,9.87,144.4,20.77,Poor,Sandy,5,Medium
Benue,277.7,7.8,301.1,1.81,Poor,Sandy,0,Low
Delta,50.8,8.96,248.9,19.77,Good,Loamy,5,Low
Kwara,154.3,4.69,185.0,19.6,Fair,Loamy,1,Low
Bayelsa,257.3,6.85,79.1,3.37,Fair,Clay,5,Medium
Anambra,338.9,9.35,122.8,16.58,Poor,Loamy,2,High
Niger,119.7,6.36,249.1,11.37,Good,Loamy,5,Low
Lagos,268.8,7.81,171.6,22.51,Poor,Clay,5,Medium
Lagos,335.8,9.79,356.0,17.42,Fair,Clay,0,Low
Lagos,227.9,3.76,95.5,23.78,Fair,Sandy,2,Low
Bayelsa,60.8,2.19,31.1,2.71,Good,Sandy,5,Low
Lagos,229.7,7.08,236.6,1.11,Poor,Clay,3,Medium
Kogi,168.6,2.15,354.6,24.34,Good,Sandy,1,Low
Niger,421.9,9.55,147.2,2.1,Poor,Sandy,5,Medium
Kogi,99.8,9.05,259.8,9.72,Good,Sandy,0,Low
Delta,311.0,10.76,94.1,16.28,Fair,Clay,3,High
Niger,71.1,8.22,224.3,22.01,Good,Loamy,0,Low
Kogi,228.5,2.21,315.1,6.44,Fair,Loamy,4,Low
Niger,271.6,4.16,347.1,0.82,Fair,Clay,5,Medium
Delta,169.2,9.98,43.8,13.08,Poor,Clay,1,Medium
Rivers,232.0,3.25,143.8,11.83,Good,Sandy,1,Low
Bayelsa,115.4,8.83,256.6,7.74,Good,Clay,3,Low
Bayelsa,171.6,9.69,15.8,21.86,Good,Clay,3,Medium
Lagos,298.4,4.97,276.9,18.76,Good,Clay,3,Low
Jigawa,170.7,4.88,212.2,21.47,Poor,Clay,1,Low
Lagos,409.9,7.36,116.8,4.13,Poor,Sandy,5,Medium
Benue,301.4,10.54,326.2,17.34,Poor,Sandy,4,Medium
Kogi,225.5,3.85,117.4,24.38,Fair,Clay,1,Medium
Niger,65.5,11.38,396.6,15.34,Fair,Clay,3,Low
Jigawa,249.8,7.79,326.9,4.37,Fair,Loamy,2,Low
Delta,355.9,11.92,283.8,24.89,Poor,Loamy,5,Medium
Benue,156.2,2.44,26.4,13.26,Fair,Clay,4,High
Delta,372.7,2.83,361.9,21.02,Good,Loamy,1,Low
Bayelsa,150.7,10.18,316.4,3.82,Fair,Loamy,2,Low
Bayelsa,379.5,10.58,93.2,16.69,Poor,Sandy,5,High
Lagos,84.1,6.18,158.1,22.82,Poor,Sandy,4,Low
Kogi,396.5,9.0,108.9,13.35,Poor,Sandy,1,Medium
Jigawa,249.7,10.61,393.8,7.29,Poor,Loamy,5,Medium
Kwara,168.6,1.95,342.0,3.27,Good,Clay,5,Low
Benue,156.0,7.53,372.2,7.47,Fair,Sandy,3,Low
Benue,222.8,10.46,315.9,8.94,Fair,Loamy,1,Low
Lagos,449.6,5.68,183.6,17.78,Poor,Clay,5,Medium
Bayelsa,138.1,4.68,83.8,4.55,Fair,Sandy,4,Low
Lagos,91.3,9.85,84.8,2.74,Good,Loamy,3,Medium
Niger,284.0,5.03,62.4,9.73,Poor,Sandy,5,Medium
Jigawa,245.4,1.53,219.6,11.52,Fair,Loamy,0,Low
Kogi,259.7,11.58,368.1,15.75,Fair,Sandy,2,Low
Rivers,316.8,7.72,396.7,17.72,Fair,Loamy,5,Medium
Anambra,156.9,10.1,116.3,22.24,Fair,Clay,3,High
Anambra,414.3,10.17,279.5,7.29,Poor,Sandy,3,Low
Lagos,224.3,2.2,239.6,13.26,Poor,Sandy,4,Low
Niger,101.6,3.29,196.6,9.21,Good,Loamy,5,Low
Jigawa,346.9,4.77,267.0,0.14,Poor,Clay,5,High
Kwara,307.2,4.87,149.8,14.53,Fair,Clay,4,Medium
Anambra,176.3,8.42,377.9,20.41,Fair,Sandy,2,Low
Jigawa,298.6,8.04,282.8,1.01,Fair,Loamy,4,Medium
Kogi,137.9,6.69,302.2,0.19,Good,Sandy,3,Low
Delta,227.9,3.72,98.5,18.22,Poor,Loamy,2,Medium
Niger,409.8,5.51,69.1,17.13,Poor,Clay,2,Medium
Bayelsa,103.4,7.21,158.9,10.21,Poor,Sandy,1,Low
Jigawa,204.7,6.41,307.1,16.57,Fair,Loamy,3,Low
Kogi,378.5,2.84,375.6,23.84,Fair,Clay,3,Low
Kwara,437.8,8.32,172.1,6.27,Fair,Loamy,4,Low
Rivers,231.6,2.27,310.1,6.22,Good,Sandy,3,Low
Bayelsa,252.8,5.47,189.2,4.74,Good,Loamy,5,Low
Rivers,278.9,8.96,119.5,18.13,Fair,Sandy,4,Medium
Kwara,422.9,1.71,296.2,8.89,Good,Clay,3,Low
Kogi,393.3,7.48,319.7,24.72,Good,Loamy,5,Low
Anambra,118.2,5.01,82.7,17.89,Good,Clay,1,Low
Rivers,224.7,1.59,123.5,9.25,Poor,Clay,3,High
Bayelsa,235.6,3.5,198.9,3.81,Good,Sandy,1,Low
Lagos,365.6,11.38,76.2,14.84,Fair,Sandy,3,Low
Benue,291.2,6.97,371.7,7.44,Poor,Clay,3,Medium
Jigawa,311.7,11.97,237.4,22.65,Good,Sandy,0,Low
Anambra,449.3,7.01,50.2,11.09,Fair,Clay,5,Medium
Rivers,80.0,7.21,75.2,7.39,Good,Sandy,3,Low
Delta,139.2,5.61,381.8,14.75,Fair,Sandy,1,Low
Jigawa,213.2,4.76,295.8,3.51,Fair,Loamy,2,Low
Lagos,189.1,4.14,294.3,14.08,Good,Loamy,1,Low
Kwara,58.7,5.11,30.9,1.5,Good,Sandy,5,Low
Benue,86.7,6.33,358.3,15.21,Poor,Clay,3,Low
Kogi,322.4,3.52,178.6,13.3,Good,Clay,4,Low
Lagos,401.7,3.86,264.6,13.07,Fair,Clay,0,Low
Lagos,255.7,4.35,384.0,17.14,Poor,Sandy,4,Low
Kwara,265.7,6.22,41.8,1.21,Fair,Sandy,0,Low
